val/loss,epoch,step,train/loss
0.0027210817206650972,0,35528,
,0,35528,0.008740825578570366
0.0027308608405292034,1,71057,
,1,71057,0.0025894336868077517
0.002729599131271243,2,106586,
,2,106586,0.002588648581877351
0.0027207951061427593,3,142115,
,3,142115,0.0025888364762067795
0.0027142141479998827,4,177644,
,4,177644,0.0025881147012114525
0.0027147475630044937,5,213173,
,5,213173,0.0025876180734485388
0.0027247383259236813,6,248702,
,6,248702,0.002586670219898224
0.0027136581484228373,7,284231,
,7,284231,0.0025871715042740107
0.002722923643887043,8,319760,
,8,319760,0.0025861291214823723
0.0027118308935314417,9,355289,
,9,355289,0.002584893722087145
