val/loss,epoch,step,train/loss
0.3709443211555481,0,33651,
,0,33651,0.30714091658592224
0.36927708983421326,1,67303,
,1,67303,0.2935616075992584
0.3677017092704773,2,100955,
,2,100955,0.29250237345695496
0.3658273220062256,3,134607,
,3,134607,0.2914310693740845
0.3650556206703186,4,168259,
,4,168259,0.2904670536518097
0.36349090933799744,5,201911,
,5,201911,0.28965067863464355
0.362287700176239,6,235563,
,6,235563,0.28884008526802063
0.36090776324272156,7,269215,
,7,269215,0.28806787729263306
0.359817236661911,8,302867,
,8,302867,0.2872069776058197
0.3582841157913208,9,336519,
,9,336519,0.28628018498420715
