val/loss,epoch,step,train/loss
0.0034466630313545465,0,35528,
,0,35528,0.01785813644528389
0.0034438215661793947,1,71057,
,1,71057,0.0024068928323686123
0.00343050598166883,2,106586,
,2,106586,0.002407234162092209
0.0034558766055852175,3,142115,
,3,142115,0.0024032003711909056
0.0034313518553972244,4,177644,
,4,177644,0.0024046492762863636
0.0034323232248425484,5,213173,
,5,213173,0.0024050846695899963
0.0034485014621168375,6,248702,
,6,248702,0.0024038252886384726
0.0034335299860686064,7,284231,
,7,284231,0.0024038050323724747
0.003458948340266943,8,319760,
,8,319760,0.002402951242402196
0.0034529799595475197,9,355289,
,9,355289,0.002403257181867957
0.0034510616678744555,10,390818,
,10,390818,0.002402861602604389
0.003441136097535491,11,426347,
,11,426347,0.00240222061984241
0.0034422622993588448,12,461876,
,12,461876,0.0024029132910072803
0.0034362217411398888,13,497405,
,13,497405,0.0024023614823818207
0.0034396324772387743,14,532934,
,14,532934,0.0024025284219533205
0.0034332433715462685,15,568463,
,15,568463,0.0024012690410017967
0.0034359039273113012,16,603992,
,16,603992,0.0024010692723095417
0.003439551219344139,17,639521,
,17,639521,0.0023996673990041018
0.003449199954047799,18,675050,
,18,675050,0.0024000718258321285
0.0034376138355582952,19,710579,
,19,710579,0.002401568228378892
0.0034461007453501225,20,746108,
,20,746108,0.0024011072237044573
0.0034368792548775673,21,781637,
,21,781637,0.0024004217702895403
0.003437833162024617,22,817166,
,22,817166,0.002400161698460579
0.0034608389250934124,23,852695,
,23,852695,0.002398114185780287
0.0034415696281939745,24,888224,
,24,888224,0.0024002583231776953
0.0034361383877694607,25,923753,
,25,923753,0.002399410819634795
0.003441975684836507,26,959282,
,26,959282,0.0023996748495846987
0.0034512996207922697,27,994811,
,27,994811,0.002399006625637412
0.003441497916355729,28,1030340,
,28,1030340,0.00239888159558177
0.0034531636629253626,29,1065869,
,29,1065869,0.0023987749591469765
