val/loss,epoch,step,train/loss
0.0006749715539626777,0,188249,
,0,188249,0.004401981830596924
0.0006749689346179366,1,376499,
,1,376499,0.0006167925312183797
0.0006749511230736971,2,564749,
,2,564749,0.0006167702376842499
0.0006749477470293641,3,752999,
,3,752999,0.0006167609826661646
0.0006749077001586556,4,941249,
,4,941249,0.0006167243700474501
0.0006749439053237438,5,1129499,
,5,1129499,0.0006166659877635539
0.0006748518790118396,6,1317749,
,6,1317749,0.0006166243692860007
0.0006746043218299747,7,1505999,
,7,1505999,0.0006165258237160742
0.000674145296216011,8,1694249,
,8,1694249,0.0006162393256090581
0.0006737099029123783,9,1882499,
,9,1882499,0.0006154696457087994
0.0006734480848535895,10,2070749,
,10,2070749,0.0006153028807602823
0.0006734210182912648,11,2258999,
,11,2258999,0.0006152348942123353
0.0006735785864293575,12,2447249,
,12,2447249,0.0006151436828076839
0.0006733034970238805,13,2635499,
,13,2635499,0.0006150927511043847
0.0006732106558047235,14,2823749,
,14,2823749,0.0006151170236989856
0.0006736813229508698,15,3011999,
,15,3011999,0.000615022552665323
0.0006730802706442773,16,3200249,
,16,3200249,0.0006149762775748968
0.0006729412125423551,17,3388499,
,17,3388499,0.0006148750544525683
0.000673214381095022,18,3576749,
,18,3576749,0.0006148084066808224
0.0006728355656377971,19,3764999,
,19,3764999,0.0006147722597233951
0.0006729149608872831,20,3953249,
,20,3953249,0.0006146528758108616
0.0006732687470503151,21,4141499,
,21,4141499,0.00061461963923648
0.000672747555654496,22,4329749,
,22,4329749,0.0006145130610093474
0.0006723622209392488,23,4517999,
,23,4517999,0.0006144789513200521
0.0006722982507199049,24,4706249,
,24,4706249,0.0006144433282315731
0.0006723070982843637,25,4894499,
,25,4894499,0.000614332442637533
0.0006728415028192103,26,5082749,
,26,5082749,0.0006142166093923151
0.0006727373693138361,27,5270999,
,27,5270999,0.0006141617777757347
0.0006725099519826472,28,5459249,
,28,5459249,0.0006140519981272519
0.0006728298030793667,29,5647499,
,29,5647499,0.000614053918980062
