id,index,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,team,team_id,timestamp_original,type,half,kickoff_time,event_time,timestamp,pass_no_touch,timestamp_seconds,uefa_match_id,uefa_player_id,GameID,Half,BallReceipt,SceneNr,BallReceipt_original,BallReceipt_time_difference,ball_x,ball_y,ball_z,ball_speed,acceleration,angle_change,acceleration_score,direction_change_score,total_score,z_ball,z_ball_max,xy_ball_movement,3m_reaction_time
2ff9e212-3281-4b33-86d2-2506c467f4e8,784,"[11.0, 35.9]",3844385,22,,2.0735075,,Right Foot,,,"[11.0, 35.9]",,Ground Pass,33.208584,Manuela Zinsberger,10237,,,,,Recovery,1,From Throw In,Manuela Zinsberger,10237,Goalkeeper,61,Austria Women's,859,['b8833e56-d0ea-4faa-8e09-ac9cc771c6af'],46,Austria Women's,859,22:46.3,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:22:46.261000,22:45.6,,1365.578,2032231,250017366,2032231,1,1365.587525,3706,1365.578,-0.009525,42.65805323,-5.012106392,0.143943662,1.300196801,-88.97926686,4.198930855,50,15.18211145,65.18211145,0.143943662,0.162960462,0.797369049,0.479966
62860ac9-b514-4af9-be77-032e6e0052a8,787,"[21.2, 16.0]",3844385,22,,-1.1131971,,Right Foot,,,"[21.2, 16.0]",,Ground Pass,22.1822,Marina Georgieva,43038,,,,,,1,From Throw In,Marina Georgieva,43038,Left Center Back,61,Austria Women's,859,['ba39dd1f-2bf5-4f68-9e0b-c4c59f32cd29'],52,Austria Women's,859,22:52.5,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:22:52.522000,22:51.8,,1371.839,2032231,250056787,2032231,1,1371.827028,3707,1371.839,0.011972,33.58834319,-22.74659851,0.108736995,5.048165122,-25.4798751,5.771927943,36.79737824,18.54877307,55.3461513,0.108736995,0.129582651,2.108765494,0.47996
4b724653-dffd-4340-8236-3d5b1349775b,793,"[24.2, 59.6]",3844385,23,,1.3075473,,Left Foot,,,"[24.2, 59.6]",,Ground Pass,14.603082,Carina Wenninger,10241,,,,,,1,From Throw In,Carina Wenninger,10241,Right Center Back,61,Austria Women's,859,['22f4da52-69ae-4544-9c34-c3f429db877b'],0,Austria Women's,859,23:00.5,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:23:00.454000,22:59.8,,1379.771,2032231,107067,2032231,1,1379.746398,3708,1379.771,0.024602,30.11403794,14.96763317,0.197125791,2.856887931,-135.1090607,3.626855348,50,13.63235836,63.63235836,0.197125791,0.183194172,0.78140282,0.439953
0810e223-a559-4c75-a4c4-88b15b258a8e,918,"[26.4, 43.1]",3844385,27,,1.6977692,,Right Foot,,,"[26.4, 43.1]",,Ground Pass,23.690716,Kathrin Julia Hendrich,10399,,,,,,1,Regular Play,Kathrin Julia Hendrich,10399,Right Center Back,72,Germany Women's,857,['a24ac1c2-1639-4f1b-b2e0-357f4427c441'],21,Germany Women's,857,27:21.7,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:27:21.655000,27:21.0,,1640.972,2032231,1909761,2032231,1,1640.484886,3709,1640.972,0.487114,-28.94294949,-0.650595558,0.227994423,7.460884838,-15.72762325,0.911908361,31.31428625,0,31.31428625,0.227994423,0.240461802,3.283466158,0.319963
481bb7c4-256a-4e6f-955c-79dfbee7c8b3,921,"[43.1, 74.8]",3844385,27,,1.2450378,,Left Foot,,,"[43.1, 74.8]",,Ground Pass,31.559784,Giulia Gwinn,25492,,,,,,1,Regular Play,Giulia Gwinn,25492,Right Back,72,Germany Women's,857,['92a25d97-eaf7-466d-a790-9b77853db87e'],25,Germany Women's,857,27:25.3,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:27:25.267000,27:24.6,,1644.584,2032231,250082216,2032231,1,1644.52457,3710,1644.584,0.05943,-14.58823199,-31.57162829,0.095163824,3.095662439,-101.4217959,11.36920919,50,25.72174355,75.72174355,0.095163824,0.101892314,1.337117577,0.399969
cc53cce6-352a-4e33-9775-7febab4bd8f4,927,"[40.7, 59.4]",3844385,27,,-1.1515639,,Right Foot,,,"[40.7, 59.4]",,Ground Pass,10.072239,Sara DÃ¤britz,10263,,,,,,1,Regular Play,Sara DÃ¤britz,10263,Left Center Midfield,72,Germany Women's,857,['b4effb84-6bdc-46f3-8845-887676868d4c'],31,Germany Women's,857,27:32.0,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:27:31.998000,27:31.3,,1651.315,2032231,250027349,2032231,1,1651.284024,3711,1651.315,0.030976,-17.71903869,-20.03541505,0.128695486,3.324169094,-46.18149672,7.426092074,43.55580752,21.21514822,64.77095574,0.128695486,0.152179421,1.254855,0.399974
e40d1f47-bcd5-4ebc-b52b-5590698f802c,943,"[98.7, 20.0]",3844385,27,,0.28429273,,Right Foot,,,"[98.7, 20.0]",,Ground Pass,16.044003,Svenja Huth,10374,,,,,,1,Regular Play,Svenja Huth,10374,Right Wing,72,Germany Women's,857,['e16e9b30-1af5-434b-8a7e-2b9c24675bf3'],46,Germany Women's,857,27:46.3,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:27:46.323000,27:45.6,,1665.64,2032231,1905290,2032231,1,1665.602852,3712,1665.64,0.037148,33.66544096,15.00151992,0.175802312,5.654664595,-40.01031159,13.7329929,41.92564362,27.72043746,69.64608108,0.175802312,0.176790672,3.082673399,0.399966
0ef2a620-3438-4213-b065-212135e1c30c,955,"[80.1, 24.7]",3844385,27,,3.1077073,,Left Foot,,,"[80.1, 24.7]",,Ground Pass,5.903389,Lena Oberdorf,25478,,,,,,1,Regular Play,Lena Oberdorf,25478,Center Defensive Midfield,72,Germany Women's,857,['4a8a5a62-3230-402e-bc09-da70ebd213be'],55,Germany Women's,857,27:55.3,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:27:55.306000,27:54.6,,1674.623,2032231,250107434,2032231,1,1674.642116,3713,1674.623,-0.019116,17.88617433,9.761212474,0.226918756,1.665486099,-72.93617769,77.88377234,48.74950226,46.08309156,94.83259382,0.226918756,0.217546033,2.378006769,0.479963
bafa86b1-1f3e-406e-a784-d91b2ce4dc51,986,"[31.7, 37.2]",3844385,29,,2.2876,,Right Foot,,,"[31.7, 37.2]",,Ground Pass,37.139736,Manuela Zinsberger,10237,,,,,Recovery,1,From Corner,Manuela Zinsberger,10237,Goalkeeper,75,Austria Women's,859,['c75cdbe3-47e0-4eba-af5d-4716ab7eb97a'],38,Austria Women's,859,29:38.7,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:29:38.677000,29:38.0,,1777.994,2032231,250017366,2032231,1,1778.033557,3714,1777.994,-0.039557,25.6156614,-3.536524282,0.214665621,2.301285126,-29.77253853,12.90257033,38.56682136,27.06044378,65.62726514,0.214665621,0.234300865,0.753359132,0.479969
43324049-0e93-4728-8998-c0fd593f88b9,995,"[76.4, 7.4]",3844385,29,TRUE,-0.15264933,,,,,"[76.4, 7.4]",,Low Pass,13.152946,Barbara Dunst,43046,,,,,Recovery,1,From Corner,Barbara Dunst,43046,Left Midfield,75,Austria Women's,859,['cb172217-f458-4940-baef-ccbdad0b2b2f'],51,Austria Women's,859,29:51.2,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:29:51.195000,29:50.5,,1790.512,2032231,250056786,2032231,1,1790.392533,3715,1790.512,0.119467,-13.25056954,-29.10305028,1.126683018,4.210674794,-138.2470949,4.802415693,50,16.60304116,66.60304116,1.126683018,3.192602688,1.591704495,0.399976
6e87adc8-4719-4a2f-8a97-fb8cfc20c129,999,"[69.1, 14.1]",3844385,29,,1.8967663,,Right Foot,,,"[69.1, 14.1]",,Ground Pass,7.4946647,Sarah Puntigam,10240,,,,,,1,From Corner,Sarah Puntigam,10240,Center Defensive Midfield,75,Austria Women's,859,['cdff1b75-b565-4921-bf7f-50d1e7d1d20f'],52,Austria Women's,859,29:52.9,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:29:52.918000,29:52.2,,1792.235,2032231,1909824,2032231,1,1792.632341,3716,1792.235,-0.397341,-7.792749162,-23.65350895,0.178267055,4.258944921,-239.1529789,11.81168605,50,26.12573749,76.12573749,0.178267055,0.5639738,1.376263653,0.479956
f0f13ad8-b62e-451e-bcef-d70fa03388e7,1034,"[57.2, 12.3]",3844385,30,,-1.2763343,,Right Foot,,,"[57.2, 12.3]",,Ground Pass,12.748726,Sara DÃ¤britz,10263,,,,,,1,From Free Kick,Sara DÃ¤britz,10263,Left Center Midfield,77,Germany Women's,857,['52c246a3-b677-4dba-8a9a-304d18ab518f'],55,Germany Women's,857,30:55.4,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:30:55.447000,30:54.8,,1854.764,2032231,250027349,2032231,1,1855.027397,3717,1854.764,-0.263397,-0.612547457,27.56733345,0.078999734,3.368157031,-26.58637051,2.998074672,37.28048562,11.61775843,48.89824404,0.078999734,0.107899259,1.394318188,0.479952
8d934ddb-9800-485a-ae20-4b42a374bb47,1041,"[18.0, 34.8]",3844385,31,,2.3509862,,Right Foot,,,"[18.0, 34.8]",,Ground Pass,27.153269,Merle Frohms,15443,,,,,,1,From Free Kick,Merle Frohms,15443,Goalkeeper,77,Germany Women's,857,['206b30bf-be07-44dc-8d68-29a7b91cf4c5'],1,Germany Women's,857,31:02.0,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:31:01.953000,31:01.3,,1861.27,2032231,250047363,2032231,1,1861.066915,3718,1861.27,0.203085,-35.72662996,4.364584106,0.201060055,4.746077697,-11.46743213,1.998015627,27.72411655,7.323771642,35.04788819,0.201060055,0.206111529,2.340721734,0.479958
b95e7b04-8013-428a-aed8-64c9ca8aa223,1044,"[26.8, 54.1]",3844385,31,,0.7936624,,Right Foot,,,"[26.8, 54.1]",,Ground Pass,17.112568,Kathrin Julia Hendrich,10399,,,,,,1,From Free Kick,Kathrin Julia Hendrich,10399,Right Center Back,77,Germany Women's,857,['2558ceac-3168-4993-8a49-1629228cd0fa'],4,Germany Women's,857,31:04.8,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:31:04.823000,31:04.1,,1864.14,2032231,1909761,2032231,1,1864.066678,3719,1864.14,0.073322,-29.80311676,-13.43620369,0.170528114,1.488726201,-136.6401608,5.993039347,50,18.94654424,68.94654424,0.170528114,0.21831708,0.691789628,0.399962
8379156b-17a9-438a-b6f5-0111daac4cf5,1054,"[22.9, 68.2]",3844385,31,,1.4622502,,Right Foot,,,"[22.9, 68.2]",,Ground Pass,15.692355,Giulia Gwinn,25492,,,,,,1,From Free Kick,Giulia Gwinn,25492,Right Back,77,Germany Women's,857,['c50490d3-4b22-4651-98ea-2e6aed60f9f4'],12,Germany Women's,857,31:12.3,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:31:12.259000,31:11.6,,1871.576,2032231,250082216,2032231,1,1871.586067,3720,1871.576,-0.010067,-30.73791102,-31.39667036,0.070261993,2.415018751,-82.35157748,29.2271436,50,35.71232417,85.71232417,0.070261993,0.096130999,1.075004674,0.479961
1ea29f9f-406f-4d04-b3c3-4dfa05459f79,1084,"[57.4, 6.4]",3844385,32,,-1.4540877,,Right Foot,,,"[57.4, 6.4]",,Ground Pass,29.19863,Felicitas Rauch,32355,,,,,,1,From Throw In,Felicitas Rauch,32355,Left Back,80,Germany Women's,857,['0516ab29-bb30-4792-827f-8c19da683edf'],14,Germany Women's,857,32:14.5,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:32:14.499000,32:13.8,,1933.816,2032231,250056782,2032231,1,1933.74085,3721,1933.816,0.07515,-1.477495798,26.39944288,0.080288605,1.850505146,-181.6781136,57.2429583,50,42.82502656,92.82502656,0.080288605,0.161275772,1.004851906,0.319977
e3c8f77c-802b-461a-85e0-e73ec2114b41,1205,"[86.9, 60.9]",3844385,34,,-1.1984781,,Right Foot,,,"[86.9, 60.9]",,Ground Pass,18.143044,Sarah Zadrazil,10236,,,,,,1,Regular Play,Sarah Zadrazil,10236,Right Center Midfield,91,Austria Women's,859,['272ade1f-ae01-4713-a377-d7a7bf8cb2cc'],37,Austria Women's,859,34:37.5,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:34:37.516000,34:36.8,,2076.833,2032231,250007478,2032231,1,2076.689093,3722,2076.833,0.143907,-23.63988357,19.90633014,0.146321282,4.962957889,-25.78363898,1.566259691,36.93206278,4.747648288,41.67971107,0.146321282,0.132048843,2.075341503,0.399957
24eddc4b-d3a2-4ced-b024-b7e6b3848321,1208,"[71.9, 54.1]",3844385,34,,-2.7357583,,Right Foot,,,"[71.9, 54.1]",,Ground Pass,13.931619,Sarah Puntigam,10240,,,,,,1,Regular Play,Sarah Puntigam,10240,Center Defensive Midfield,91,Austria Women's,859,['b4e83ff4-0299-44e1-ba7f-d317f35468dd'],40,Austria Women's,859,34:40.4,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:34:40.373000,34:39.7,,2079.69,2032231,1909824,2032231,1,2079.528856,3723,2079.69,0.161144,-10.79236956,13.91081353,0.174269561,3.465029509,-26.5029195,55.0869763,37.24475752,42.41880337,79.66356089,0.174269561,0.171582626,1.928545922,0.479953
6b6bef86-0f8a-4b6b-94fc-993938fa08ad,1211,"[62.3, 37.4]",3844385,34,,-2.0831857,,Left Foot,,,"[62.3, 37.4]",,Ground Pass,18.35756,Marina Georgieva,43038,,,,,,1,Regular Play,Marina Georgieva,43038,Left Center Back,91,Austria Women's,859,['6d608bee-7f1a-4ad3-a3f0-26e112fe8c7f'],43,Austria Women's,859,34:43.8,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:34:43.807000,34:43.1,,2083.124,2032231,250056787,2032231,1,2083.048569,3724,2083.124,0.075431,-0.328301481,-5.225729528,0.213916446,3.151553887,-46.83588687,1.428796545,43.71571351,3.77568857,47.49140208,0.213916446,0.246594162,1.33063752,0.47996
23b04a64-fa38-4d80-97de-38612d998378,1285,"[88.4, 59.6]",3844385,36,TRUE,2.0093596,,,,,"[88.4, 59.6]",,Low Pass,12.481186,Giulia Gwinn,25492,,,,,,1,Regular Play,Giulia Gwinn,25492,Right Back,95,Germany Women's,857,['005fdfad-d4f5-4ed6-bd0d-481dfa172dd8'],37,Germany Women's,857,36:37.5,Ball Receipt*,1,0 days 00:00:00.683000,0 days 00:36:37.529000,36:36.8,,2196.846,2032231,250082216,2032231,1,2196.759363,3725,2196.846,0.086637,24.80662171,-19.39970243,0.735733041,2.492137846,-127.6164614,77.6502236,50,46.05131446,96.05131446,0.735733041,1.543313506,2.207320716,0.359972
