val/loss,epoch,step,train/loss
0.0019308977061882615,0,35529,
,0,35529,0.010003750212490559
0.0019313632510602474,1,71059,
,1,71059,0.0021542359609156847
0.0019312475342303514,2,106589,
,2,106589,0.0021538829896599054
0.0019309930503368378,3,142119,
,3,142119,0.002154107205569744
0.0019306759350001812,4,177649,
,4,177649,0.00215359078720212
0.0019306454341858625,5,213179,
,5,213179,0.0021536671556532383
0.0019306226167827845,6,248709,
,6,248709,0.002153568435460329
0.0019316592952236533,7,284239,
,7,284239,0.002153513953089714
0.0019316058605909348,8,319769,
,8,319769,0.0021534301340579987
0.0019306209869682789,9,355299,
,9,355299,0.002152809174731374
0.0019310726784169674,10,390829,
,10,390829,0.0021533495746552944
0.0019308706978335977,11,426359,
,11,426359,0.0021531444508582354
0.0019305964233353734,12,461889,
,12,461889,0.002152981236577034
0.0019304461311548948,13,497419,
,13,497419,0.002152897184714675
0.0019304015440866351,14,532949,
,14,532949,0.0021528410725295544
0.00193061213940382,15,568479,
,15,568479,0.0021526713389903307
0.0019313456723466516,16,604009,
,16,604009,0.0021524066105484962
0.0019313226221129298,17,639539,
,17,639539,0.0021523612085729837
0.0019303039880469441,18,675069,
,18,675069,0.0021522496826946735
0.0019313584780320525,19,710599,
,19,710599,0.0021517707500606775
0.0019301132997497916,20,746129,
,20,746129,0.0021517195273190737
0.0019299486884847283,21,781659,
,21,781659,0.002151675522327423
0.001930895959958434,22,817189,
,22,817189,0.0021515090484172106
0.001929675112478435,23,852719,
,23,852719,0.002151397056877613
0.0019295179517939687,24,888249,
,24,888249,0.002151073655113578
0.0019298288971185684,25,923779,
,25,923779,0.002150892745703459
0.0019295639358460903,26,959309,
,26,959309,0.0021505376789718866
0.0019285178277641535,27,994839,
,27,994839,0.002149948151782155
0.0019309520721435547,28,1030369,
,28,1030369,0.0021490410435944796
0.001926654833368957,29,1065899,
,29,1065899,0.002148899482563138
0.0019235482905060053,30,1101429,
,30,1101429,0.0021476049441844225
0.0019174402114003897,31,1136959,
,31,1136959,0.002144160447642207
0.0019115416798740625,32,1172489,
,32,1172489,0.0021401396952569485
0.001910773222334683,33,1208019,
,33,1208019,0.0021375210490077734
0.0019092552829533815,34,1243549,
,34,1243549,0.0021369638852775097
0.0019089297857135534,35,1279079,
,35,1279079,0.002136759925633669
0.0019130035070702434,36,1314609,
,36,1314609,0.0021367445588111877
0.0019076794851571321,37,1350139,
,37,1350139,0.00213619670830667
0.0019099521450698376,38,1385669,
,38,1385669,0.002136175986379385
0.0019083874067291617,39,1421199,
,39,1421199,0.0021360551472753286
0.0019073511939495802,40,1456729,
,40,1456729,0.002136277500540018
0.0019066280219703913,41,1492259,
,41,1492259,0.00213545560836792
0.001906836754642427,42,1527789,
,42,1527789,0.0021355089265853167
0.0019097678596153855,43,1563319,
,43,1563319,0.0021351773757487535
0.0019103718223050237,44,1598849,
,44,1598849,0.002134141977876425
0.0019064833177253604,45,1634379,
,45,1634379,0.0021347401197999716
0.001906804507598281,46,1669909,
,46,1669909,0.0021350779570639133
0.0019102278165519238,47,1705439,
,47,1705439,0.002134517999365926
0.0019062834326177835,48,1740969,
,48,1740969,0.0021347685251384974
0.0019067353568971157,49,1776499,
,49,1776499,0.00213369051925838
