val/loss,epoch,step,train/loss
0.0015894189709797502,0,35529,
,0,35529,0.012550072744488716
0.001589061226695776,1,71059,
,1,71059,0.002240356057882309
0.0015893219970166683,2,106589,
,2,106589,0.0022401371970772743
0.0015886869514361024,3,142119,
,3,142119,0.00224006618373096
0.0015886316541582346,4,177649,
,4,177649,0.002239719731733203
0.001588460523635149,5,213179,
,5,213179,0.002239590510725975
0.0015886075561866164,6,248709,
,6,248709,0.0022391732782125473
0.0015886176843196154,7,284239,
,7,284239,0.002239143243059516
0.0015892133815214038,8,319769,
,8,319769,0.0022388568613678217
0.001588539220392704,9,355299,
,9,355299,0.002238941378891468
