val/loss,epoch,step,train/loss
34.36114501953125,0,33651,
,0,33651,34.640380859375
34.01605224609375,1,67303,
,1,67303,34.10784149169922
33.961856842041016,2,100955,
,2,100955,33.92569351196289
33.96759796142578,3,134607,
,3,134607,33.90279769897461
33.95193862915039,4,168259,
,4,168259,33.89780807495117
33.946678161621094,5,201911,
,5,201911,33.89438247680664
33.945926666259766,6,235563,
,6,235563,33.894596099853516
33.941551208496094,7,269215,
,7,269215,33.89374542236328
33.960330963134766,8,302867,
,8,302867,33.893348693847656
33.941558837890625,9,336519,
,9,336519,33.894168853759766
33.951011657714844,10,370171,
,10,370171,33.891170501708984
33.94783020019531,11,403823,
,11,403823,33.89147186279297
33.939544677734375,12,437475,
,12,437475,33.88903045654297
33.93842697143555,13,471127,
,13,471127,33.89006805419922
33.952701568603516,14,504779,
,14,504779,33.88993835449219
33.960201263427734,15,538431,
,15,538431,33.890193939208984
33.93757247924805,16,572083,
,16,572083,33.89032745361328
33.95445251464844,17,605735,
,17,605735,33.88998794555664
33.94986343383789,18,639387,
,18,639387,33.889984130859375
33.93751525878906,19,673039,
,19,673039,33.88823699951172
33.93899154663086,20,706691,
,20,706691,33.8905029296875
33.940486907958984,21,740343,
,21,740343,33.887489318847656
33.9492301940918,22,773995,
,22,773995,33.88742446899414
33.93722915649414,23,807647,
,23,807647,33.88862228393555
33.94541931152344,24,841299,
,24,841299,33.88706970214844
33.948429107666016,25,874951,
,25,874951,33.88803482055664
33.93878173828125,26,908603,
,26,908603,33.887935638427734
33.93480682373047,27,942255,
,27,942255,33.88612365722656
33.94708251953125,28,975907,
,28,975907,33.88747787475586
33.93628692626953,29,1009559,
,29,1009559,33.88801574707031
33.94041061401367,30,1043211,
,30,1043211,33.88751983642578
33.950008392333984,31,1076863,
,31,1076863,33.886390686035156
33.93840026855469,32,1110515,
,32,1110515,33.88716125488281
33.93682098388672,33,1144167,
,33,1144167,33.886356353759766
33.93281173706055,34,1177819,
,34,1177819,33.88597869873047
33.936058044433594,35,1211471,
,35,1211471,33.886009216308594
33.941490173339844,36,1245123,
,36,1245123,33.88480758666992
33.93258285522461,37,1278775,
,37,1278775,33.88414001464844
33.94093322753906,38,1312427,
,38,1312427,33.88454055786133
33.93734359741211,39,1346079,
,39,1346079,33.884796142578125
