val/loss,epoch,step,train/loss
0.005360923241823912,0,35983,
,0,35983,0.01405836921185255
0.005353572778403759,1,71967,
,1,71967,0.0046127256937325
0.005346378777176142,2,107951,
,2,107951,0.004607267677783966
0.005367684178054333,3,143935,
,3,143935,0.0046029421500861645
0.005343778990209103,4,179919,
,4,179919,0.004604160785675049
0.005358234513550997,5,215903,
,5,215903,0.004601432476192713
0.005344631616026163,6,251887,
,6,251887,0.004602052737027407
0.005356816109269857,7,287871,
,7,287871,0.0046006240881979465
0.005342552904039621,8,323855,
,8,323855,0.004600346554070711
0.005349121522158384,9,359839,
,9,359839,0.004600150510668755
0.00534566305577755,10,395823,
,10,395823,0.004597061313688755
0.005349045153707266,11,431807,
,11,431807,0.004597111139446497
0.005345925688743591,12,467791,
,12,467791,0.004596350248903036
0.0053403242491185665,13,503775,
,13,503775,0.004597215913236141
0.005346853751689196,14,539759,
,14,539759,0.004595024511218071
0.005334408953785896,15,575743,
,15,575743,0.004596227314323187
0.005348862148821354,16,611727,
,16,611727,0.004593707155436277
0.005342407617717981,17,647711,
,17,647711,0.004592572804540396
0.00535990297794342,18,683695,
,18,683695,0.004588666372001171
0.005369523540139198,19,719679,
,19,719679,0.004590840078890324
0.005353724118322134,20,755663,
,20,755663,0.00458994647487998
0.005330172833055258,21,791647,
,21,791647,0.004589731805026531
0.005331477150321007,22,827631,
,22,827631,0.004589721094816923
0.005347749684005976,23,863615,
,23,863615,0.004585803486406803
0.005336304660886526,24,899599,
,24,899599,0.004586516413837671
0.005332410801202059,25,935583,
,25,935583,0.004588860087096691
0.005327959079295397,26,971567,
,26,971567,0.004585942253470421
0.005328965838998556,27,1007551,
,27,1007551,0.00458407262340188
0.005330743733793497,28,1043535,
,28,1043535,0.004584674723446369
0.005324822850525379,29,1079519,
,29,1079519,0.00458255410194397
0.005324548576027155,30,1115503,
,30,1115503,0.004582105204463005
0.005324205383658409,31,1151487,
,31,1151487,0.004581932444125414
0.0053316885605454445,32,1187471,
,32,1187471,0.0045758867636322975
0.005323557648807764,33,1223455,
,33,1223455,0.0045783426612615585
0.005336665082722902,34,1259439,
,34,1259439,0.004579797852784395
0.005322680342942476,35,1295423,
,35,1295423,0.004579281434416771
0.00532054016366601,36,1331407,
,36,1331407,0.0045776935294270515
0.0053244722075760365,37,1367391,
,37,1367391,0.004575399216264486
0.005331561900675297,38,1403375,
,38,1403375,0.004575179424136877
0.005328932777047157,39,1439359,
,39,1439359,0.004573250189423561
0.005320955533534288,40,1475343,
,40,1475343,0.004572663921862841
0.0053183226846158504,41,1511327,
,41,1511327,0.004575551487505436
0.005317795090377331,42,1547311,
,42,1547311,0.004572924692183733
0.00532196369022131,43,1583295,
,43,1583295,0.004569404758512974
0.00532054528594017,44,1619279,
,44,1619279,0.00457277474924922
0.00531624024733901,45,1655263,
,45,1655263,0.004569435957819223
0.005315255839377642,46,1691247,
,46,1691247,0.0045709856785833836
0.005317322909832001,47,1727231,
,47,1727231,0.004566861316561699
0.005315354559570551,48,1763215,
,48,1763215,0.004567124880850315
0.005316301714628935,49,1799199,
,49,1799199,0.004567294381558895
