val/loss,epoch,step,train/loss
0.0026412245351821184,0,35528,
,0,35528,0.006985182408243418
0.002638742560520768,1,71057,
,1,71057,0.0026069371961057186
0.0026353863067924976,2,106586,
,2,106586,0.0026047967839986086
0.0026337916497141123,3,142115,
,3,142115,0.0026047108694911003
0.0026399747002869844,4,177644,
,4,177644,0.0026037138886749744
0.0026444438844919205,5,213173,
,5,213173,0.0026037823408842087
0.002633403055369854,6,248702,
,6,248702,0.002603087807074189
0.0026354442816227674,7,284231,
,7,284231,0.002604179549962282
0.002636505290865898,8,319760,
,8,319760,0.0026030363515019417
0.0026367539539933205,9,355289,
,9,355289,0.0026029732543975115
0.0026336051523685455,10,390818,
,10,390818,0.002602592809125781
0.0026328214444220066,11,426347,
,11,426347,0.0026029886212199926
0.0026364773511886597,12,461876,
,12,461876,0.002600877545773983
0.002632184186950326,13,497405,
,13,497405,0.002602566499263048
0.002635316690430045,14,532934,
,14,532934,0.0026027385611087084
0.002632393268868327,15,568463,
,15,568463,0.002603525063022971
0.0026317602023482323,16,603992,
,16,603992,0.0026015788316726685
0.0026338580064475536,17,639521,
,17,639521,0.0026025595143437386
0.0026393530424684286,18,675050,
,18,675050,0.002602332504466176
0.002631562761962414,19,710579,
,19,710579,0.0026022468227893114
0.0026393295265734196,20,746108,
,20,746108,0.002601382788270712
0.0026313262060284615,21,781637,
,21,781637,0.0026022286619991064
0.002632974646985531,22,817166,
,22,817166,0.0026019755750894547
0.002631670329719782,23,852695,
,23,852695,0.0026002696249634027
0.002634213073179126,24,888224,
,24,888224,0.002601655200123787
0.002641368191689253,25,923753,
,25,923753,0.002600801410153508
0.0026313825510442257,26,959282,
,26,959282,0.0026011799927800894
0.0026312146801501513,27,994811,
,27,994811,0.0026015746407210827
0.0026359912008047104,28,1030340,
,28,1030340,0.002601517830044031
0.002633183030411601,29,1065869,
,29,1065869,0.0026011152658611536
