val/loss,epoch,step,train/loss
0.05233665928244591,0,33651,
,0,33651,0.055558495223522186
0.05205252021551132,1,67303,
,1,67303,0.052248384803533554
0.05182885751128197,2,100955,
,2,100955,0.05194557085633278
0.05169648304581642,3,134607,
,3,134607,0.05162913724780083
0.051179733127355576,4,168259,
,4,168259,0.0513228215277195
0.050720736384391785,5,201911,
,5,201911,0.0509197823703289
0.05036723613739014,6,235563,
,6,235563,0.05053352564573288
0.050798092037439346,7,269215,
,7,269215,0.050091687589883804
0.04966606944799423,8,302867,
,8,302867,0.04969199001789093
0.04933939874172211,9,336519,
,9,336519,0.049226731061935425
